joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
0.336855,0.623490,-0.067118,0.118270,-0.015177,0.013905,0.085756,-0.178038,0.495458,-0.094185,-0.544509,-0.266648,-0.165036,0.070493,0.085318,0.034373,-0.006688,0.320048,0.038407,0.209056,-0.116139,0.113243,0.020024,0.156042,-0.061032,-0.000001,0.043492,0.000000,0.000000
0.353751,0.549990,-0.086860,0.076763,0.041823,-0.000168,0.023621,-0.078281,0.496665,-0.086156,-0.359026,-0.236458,-0.167811,0.038571,-0.012388,0.032768,0.017549,0.329381,-0.016929,0.207336,-0.111599,0.092191,-0.001934,0.156504,-0.061095,0.000000,0.037575,-0.000000,0.000000
0.377709,0.464883,-0.104761,0.009271,0.072982,-0.019338,-0.047231,0.032222,0.490679,-0.077383,-0.163180,-0.209026,-0.169072,0.003412,-0.050115,0.020739,0.013398,0.331285,-0.074535,0.202844,-0.111083,0.077885,-0.026944,0.155410,-0.061815,0.000000,0.030378,-0.000000,0.000000
0.401728,0.395469,-0.113275,-0.018893,0.047472,-0.028615,-0.043297,0.045963,0.480177,-0.086909,-0.038789,-0.204969,-0.175101,-0.051105,-0.032720,0.013119,-0.008182,0.337754,-0.106331,0.195491,-0.113004,0.082168,-0.039339,0.151713,-0.062194,0.000000,0.026850,-0.000000,0.000000
0.398042,0.332301,-0.112481,-0.042494,0.018580,-0.026964,-0.026768,0.014595,0.441630,-0.103195,0.058015,-0.200911,-0.168325,-0.075255,-0.023444,-0.001498,-0.035459,0.342089,-0.134818,0.187150,-0.116367,0.074556,-0.047973,0.148101,-0.062948,0.000000,0.026163,-0.000000,0.000000
0.368495,0.306963,-0.102775,-0.049730,0.000750,-0.015209,-0.005907,-0.046197,0.394309,-0.118098,0.078832,-0.198880,-0.152133,-0.056961,-0.026926,-0.015803,-0.054794,0.342120,-0.145752,0.181989,-0.119491,0.058857,-0.048530,0.146379,-0.063699,0.000000,0.028660,-0.000000,0.000000
0.359851,0.284912,-0.078503,-0.070082,-0.021164,-0.019102,-0.000938,-0.101662,0.388871,-0.166705,0.081732,-0.200952,-0.138693,-0.039731,-0.073881,-0.015990,-0.037146,0.357630,-0.169951,0.186698,-0.118467,0.016373,-0.033680,0.151123,-0.063784,0.000001,0.036633,0.000000,-0.000000
0.327971,0.244459,-0.052021,-0.066229,-0.015877,-0.010290,0.000983,-0.131862,0.336884,-0.181879,0.085581,-0.177277,-0.101329,-0.040424,-0.128250,-0.022579,-0.013634,0.368168,-0.193483,0.189873,-0.116837,-0.002941,-0.012279,0.154116,-0.063528,0.000001,0.046175,0.000000,-0.000000
0.228717,0.163911,-0.035685,-0.000846,0.047900,0.039583,0.012701,-0.116858,0.149910,-0.096486,0.109248,-0.098005,-0.013366,-0.075904,-0.153974,-0.056094,-0.015383,0.353280,-0.202416,0.180109,-0.118139,0.050858,0.006807,0.147139,-0.063259,0.000000,0.053377,0.000000,-0.000000
0.145623,0.081065,-0.019419,0.027270,0.074768,0.056828,0.016615,-0.097244,0.016840,-0.018580,0.158668,-0.033037,0.040783,-0.109474,-0.160874,-0.063267,-0.005728,0.333909,-0.223561,0.174471,-0.116449,0.086260,0.014085,0.142764,-0.062847,0.000000,0.057019,0.000000,0.000000
