joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.385575,0.222352,-0.003354,0.000674,0.004894,0.059537,0.084907,-0.006649,0.451005,0.251166,0.291411,-0.149590,-0.112610,-0.211687,-0.035789,0.399101,-0.437641,0.128020,0.025966,0.402406,-0.192542,1.193317,1.322104,0.088086,-0.019204,0.300000,0.120582,0.050000,-0.050000
0.392331,0.234591,-0.004790,0.003372,0.004937,0.059855,0.086823,-0.010334,0.460988,0.249204,0.281142,-0.154841,-0.115981,-0.210576,-0.035166,0.399946,-0.437351,0.134613,0.026568,0.406594,-0.194797,1.195475,1.322483,0.091214,-0.020414,0.300000,0.121454,0.050000,-0.050000
0.399725,0.244351,-0.006828,0.003745,0.006567,0.059530,0.085852,-0.009781,0.470872,0.247719,0.277050,-0.159049,-0.119323,-0.210144,-0.036284,0.400411,-0.436939,0.141196,0.025289,0.410700,-0.197006,1.197004,1.322026,0.094347,-0.021648,0.300000,0.122085,0.050000,-0.050000
0.407439,0.253186,-0.008980,0.003742,0.007856,0.059082,0.084933,-0.009045,0.480615,0.246108,0.274615,-0.163202,-0.122744,-0.210439,-0.037171,0.400775,-0.436815,0.147864,0.023587,0.414708,-0.199240,1.198591,1.321405,0.097430,-0.022886,0.300000,0.122669,0.050000,-0.050000
0.415794,0.260170,-0.011359,0.002989,0.008466,0.058386,0.084120,-0.007942,0.490079,0.244243,0.275498,-0.167247,-0.126327,-0.212188,-0.037593,0.400936,-0.437266,0.154706,0.021036,0.418519,-0.201526,1.200291,1.320453,0.100415,-0.024135,0.300000,0.123159,0.050000,-0.050000
0.423361,0.266478,-0.013479,0.002043,0.008600,0.058003,0.083863,-0.008461,0.498280,0.241980,0.276936,-0.171239,-0.129477,-0.213450,-0.038108,0.400715,-0.438233,0.161548,0.018194,0.422193,-0.203895,1.201573,1.319486,0.103354,-0.025404,0.300000,0.123716,0.050000,-0.050000
0.430534,0.272449,-0.015470,0.001000,0.008496,0.057777,0.083884,-0.009790,0.505851,0.239519,0.278651,-0.175203,-0.132412,-0.214467,-0.038670,0.400304,-0.439458,0.168391,0.015206,0.425799,-0.206306,1.202645,1.318512,0.106270,-0.026683,0.300000,0.124306,0.050000,-0.050000
0.437755,0.277875,-0.016620,-0.000761,0.007753,0.057239,0.083825,-0.012527,0.513835,0.235312,0.280205,-0.179277,-0.135025,-0.215039,-0.041064,0.400076,-0.439719,0.175853,0.011396,0.429661,-0.208634,1.202228,1.318139,0.109399,-0.027956,0.300000,0.125181,0.050000,-0.050000
0.443653,0.282227,-0.017551,-0.001649,0.007861,0.057366,0.083923,-0.015065,0.519326,0.232244,0.282075,-0.182294,-0.136465,-0.216084,-0.043800,0.399401,-0.440004,0.183117,0.007467,0.433394,-0.210979,1.202528,1.318021,0.112435,-0.029224,0.300000,0.126153,0.050000,-0.050000
0.446904,0.284431,-0.018047,-0.000794,0.009669,0.058822,0.084333,-0.017202,0.519832,0.231453,0.284575,-0.183197,-0.135560,-0.218075,-0.047223,0.397832,-0.440335,0.189984,0.003299,0.436866,-0.213359,1.204262,1.318411,0.115285,-0.030486,0.300000,0.127316,0.050000,-0.050000
0.449477,0.285469,-0.018328,-0.000558,0.010851,0.059639,0.084588,-0.018954,0.520000,0.231501,0.288421,-0.183615,-0.134834,-0.220463,-0.050235,0.396870,-0.440233,0.196474,-0.001476,0.440373,-0.215637,1.205978,1.318584,0.118145,-0.031738,0.300000,0.128433,0.050000,-0.050000
0.451713,0.285925,-0.018501,-0.000632,0.011721,0.060135,0.084764,-0.020515,0.520000,0.231968,0.292940,-0.183791,-0.134198,-0.223049,-0.053043,0.396212,-0.439914,0.202774,-0.006555,0.443897,-0.217864,1.207685,1.318648,0.121012,-0.032986,0.300000,0.129528,0.050000,-0.050000
0.453419,0.284616,-0.018310,-0.002444,0.010375,0.057739,0.085654,-0.021707,0.520000,0.233731,0.302435,-0.183540,-0.133785,-0.221260,-0.058277,0.397342,-0.438374,0.207664,-0.012490,0.447519,-0.219944,1.209178,1.318872,0.123890,-0.034258,0.300000,0.130801,0.050000,-0.050000
0.454811,0.283035,-0.018049,-0.004150,0.009398,0.055697,0.086426,-0.022617,0.520000,0.235525,0.311829,-0.183172,-0.133211,-0.219390,-0.062851,0.398185,-0.436893,0.212513,-0.018681,0.451081,-0.222050,1.210597,1.319080,0.126747,-0.035551,0.300000,0.132079,0.050000,-0.050000
0.455578,0.280910,-0.017651,-0.005645,0.009160,0.054363,0.086966,-0.022961,0.520000,0.237381,0.321023,-0.182569,-0.132316,-0.217357,-0.066106,0.398452,-0.435534,0.217281,-0.025382,0.454522,-0.224210,1.211872,1.319255,0.129560,-0.036884,0.300000,0.133366,0.050000,-0.050000
0.455853,0.279102,-0.016880,-0.006790,0.009421,0.053340,0.087374,-0.022800,0.520000,0.238327,0.327194,-0.182365,-0.132016,-0.216083,-0.069678,0.398928,-0.433961,0.222137,-0.031503,0.457900,-0.226310,1.212725,1.319252,0.132348,-0.038228,0.300000,0.134635,0.050000,-0.050000
0.455881,0.277453,-0.015923,-0.007761,0.009931,0.052472,0.087717,-0.022388,0.520000,0.238818,0.331854,-0.182361,-0.132013,-0.215189,-0.073410,0.399509,-0.432283,0.227036,-0.037333,0.461249,-0.228379,1.213367,1.319160,0.135124,-0.039576,0.300000,0.135895,0.050000,-0.050000
0.454417,0.276921,-0.014985,-0.007960,0.010626,0.052073,0.089334,-0.020811,0.520000,0.240104,0.333745,-0.182017,-0.132158,-0.214380,-0.075645,0.399268,-0.431256,0.231312,-0.041824,0.464424,-0.230520,1.213921,1.318890,0.137817,-0.040962,0.300000,0.137121,0.050000,-0.050000
0.452274,0.276785,-0.014162,-0.007332,0.011843,0.052202,0.091495,-0.019340,0.520000,0.242885,0.334900,-0.181653,-0.132267,-0.213874,-0.077892,0.398726,-0.430369,0.234794,-0.045787,0.467558,-0.232663,1.214346,1.318733,0.140497,-0.042345,0.300000,0.138381,0.050000,-0.050000
0.448775,0.277441,-0.013567,-0.005050,0.014106,0.053388,0.094743,-0.018081,0.520000,0.248653,0.334579,-0.181248,-0.132301,-0.213971,-0.080164,0.397581,-0.429762,0.236689,-0.048697,0.470609,-0.234811,1.214510,1.318803,0.143152,-0.043721,0.300000,0.139708,0.050000,-0.050000
0.434672,0.278411,-0.011707,-0.003354,0.014412,0.053018,0.096186,-0.015491,0.520000,0.246689,0.335581,-0.180445,-0.132286,-0.213333,-0.084117,0.395777,-0.428744,0.240505,-0.051561,0.473652,-0.236939,1.215134,1.319347,0.145821,-0.045109,0.300000,0.141170,0.050000,-0.050000
0.415267,0.279539,-0.009215,-0.001950,0.013740,0.051871,0.096728,-0.012236,0.520000,0.240860,0.337244,-0.179443,-0.132247,-0.212327,-0.088911,0.393644,-0.427521,0.245283,-0.054403,0.476691,-0.239057,1.215989,1.320126,0.148497,-0.046502,0.300000,0.142698,0.050000,-0.050000
