body_0_angvel_x,body_0_angvel_y,body_0_angvel_z,body_1_angvel_x,body_1_angvel_y,body_1_angvel_z,body_2_angvel_x,body_2_angvel_y,body_2_angvel_z,body_3_angvel_x,body_3_angvel_y,body_3_angvel_z,body_4_angvel_x,body_4_angvel_y,body_4_angvel_z,body_5_angvel_x,body_5_angvel_y,body_5_angvel_z,body_6_angvel_x,body_6_angvel_y,body_6_angvel_z,body_7_angvel_x,body_7_angvel_y,body_7_angvel_z,body_8_angvel_x,body_8_angvel_y,body_8_angvel_z,body_9_angvel_x,body_9_angvel_y,body_9_angvel_z,body_10_angvel_x,body_10_angvel_y,body_10_angvel_z,body_11_angvel_x,body_11_angvel_y,body_11_angvel_z,body_12_angvel_x,body_12_angvel_y,body_12_angvel_z,body_13_angvel_x,body_13_angvel_y,body_13_angvel_z
-0.340271,-0.348738,-0.033943,-0.813785,-0.890127,0.146432,-0.851827,-0.658709,-0.203673,-0.914830,-0.912573,-0.154390,-0.755972,-1.012153,0.223100,-1.045072,-0.737642,-0.260821,-1.191912,-0.708005,-0.151088,-0.617095,-0.350858,-0.060192,0.419965,-0.003994,0.056004,0.809908,-0.342697,0.211422,0.835389,-0.314458,0.216335,-1.557214,-0.402036,-0.234788,-1.649067,-0.512493,-0.177563,-1.687622,-0.465018,-0.184060
-0.302714,-0.315800,-0.016499,-0.680071,-0.812401,0.125419,-0.731664,-0.627404,-0.230102,-0.768946,-0.776728,-0.200493,-0.670463,-0.902766,0.205524,-0.938083,-0.653524,-0.251704,-1.094504,-0.641914,-0.134624,-0.556785,-0.321689,-0.086372,0.484990,-0.016397,0.029728,0.872034,-0.351364,0.174984,0.895711,-0.324880,0.180236,-1.583785,-0.369155,-0.266741,-1.682443,-0.483516,-0.212038,-1.716798,-0.440858,-0.219078
-0.224306,-0.230126,0.069366,-0.468615,-0.538455,0.158744,-0.533449,-0.413638,-0.186086,-0.562525,-0.528791,-0.162927,-0.449638,-0.687854,0.204595,-0.689820,-0.484789,-0.213583,-0.855064,-0.470418,-0.089963,-0.374192,-0.238129,-0.043494,0.768290,0.048773,0.085105,1.130061,-0.272371,0.190964,1.159431,-0.238846,0.198913,-1.470532,-0.289756,-0.228326,-1.579710,-0.410377,-0.178034,-1.612538,-0.369653,-0.185047
-0.143914,-0.134643,0.180847,-0.284916,-0.206258,0.229748,-0.356899,-0.126467,-0.094066,-0.399539,-0.294588,-0.059560,-0.202615,-0.475126,0.220086,-0.421583,-0.316945,-0.167483,-0.590315,-0.280012,-0.041833,-0.160009,-0.142434,0.046989,1.129410,0.159227,0.186113,1.457016,-0.144248,0.237043,1.496510,-0.098495,0.249753,-1.273448,-0.206397,-0.138313,-1.391360,-0.332290,-0.091105,-1.426124,-0.289720,-0.098129
-0.122822,-0.089503,0.197985,-0.232493,-0.132690,0.236045,-0.303682,-0.063871,-0.073432,-0.336703,-0.193943,-0.046109,-0.066758,-0.394003,0.173697,-0.274422,-0.221508,-0.198122,-0.485795,-0.190176,-0.040369,-0.127958,-0.095152,0.097522,1.142773,0.101041,0.256256,1.419109,-0.158844,0.277234,1.454077,-0.117617,0.290694,-1.131029,-0.265294,-0.092784,-1.231142,-0.369232,-0.057655,-1.254671,-0.326671,-0.058203
-0.110151,-0.064265,0.139873,-0.223997,-0.160870,0.180833,-0.284292,-0.105195,-0.080586,-0.295188,-0.147963,-0.071451,0.012263,-0.326886,0.079208,-0.167316,-0.163749,-0.246988,-0.432403,-0.136304,-0.048725,-0.153437,-0.066603,0.111225,1.089002,0.016380,0.297859,1.332493,-0.211674,0.307432,1.362085,-0.175989,0.320785,-1.048630,-0.334693,-0.087812,-1.185689,-0.459655,-0.099724,-1.200054,-0.424624,-0.096094
-0.055367,-0.026810,0.025582,-0.174539,-0.131463,0.068455,-0.214100,-0.127163,-0.069817,-0.200738,-0.074959,-0.081118,0.087211,-0.154579,-0.048652,-0.024240,-0.109789,-0.253757,-0.325705,-0.055303,-0.028674,-0.112351,-0.024499,0.090367,1.249672,0.044103,0.298334,1.513311,-0.201527,0.299562,1.550284,-0.157130,0.317345,-1.034632,-0.281368,-0.112078,-1.343964,-0.541835,-0.226258,-1.366288,-0.528196,-0.229716
-0.028278,-0.013888,-0.017178,-0.093404,-0.107415,0.007024,-0.131177,-0.126660,-0.100785,-0.114101,-0.060397,-0.115236,0.119059,-0.078460,-0.095525,0.036234,-0.108873,-0.248321,-0.251067,-0.028910,-0.033939,-0.076668,-0.010183,0.070763,1.283028,0.017469,0.289360,1.532680,-0.214978,0.277017,1.572409,-0.167349,0.297866,-0.995064,-0.271317,-0.134711,-1.373980,-0.586879,-0.295113,-1.394218,-0.586488,-0.298549
-0.042111,-0.032352,0.033077,-0.020315,-0.101521,0.027730,-0.075632,-0.105320,-0.157855,-0.077574,-0.112773,-0.156225,0.093228,-0.136415,-0.037633,-0.012732,-0.160694,-0.233585,-0.242413,-0.069048,-0.062238,-0.063929,-0.031282,0.062379,1.172865,-0.049224,0.274336,1.381645,-0.243841,0.249932,1.418140,-0.200035,0.270750,-0.948915,-0.310688,-0.145054,-1.260142,-0.571242,-0.274747,-1.269387,-0.569030,-0.271630
-0.049251,0.012652,0.047915,-0.013986,0.016744,0.036139,-0.064393,0.042304,-0.166070,-0.081110,-0.020978,-0.152242,0.050447,-0.023538,-0.004926,-0.061056,-0.003916,-0.212450,-0.282448,0.021463,-0.046475,-0.056434,0.012635,0.051029,1.316546,-0.088555,0.312438,1.506841,-0.267256,0.269028,1.548804,-0.217031,0.294506,-1.079219,-0.311502,-0.192411,-1.355454,-0.546714,-0.288357,-1.370559,-0.532362,-0.286618
