body_0_vel_x,body_0_vel_y,body_0_vel_z,body_1_vel_x,body_1_vel_y,body_1_vel_z,body_2_vel_x,body_2_vel_y,body_2_vel_z,body_3_vel_x,body_3_vel_y,body_3_vel_z,body_4_vel_x,body_4_vel_y,body_4_vel_z,body_5_vel_x,body_5_vel_y,body_5_vel_z,body_6_vel_x,body_6_vel_y,body_6_vel_z,body_7_vel_x,body_7_vel_y,body_7_vel_z,body_8_vel_x,body_8_vel_y,body_8_vel_z,body_9_vel_x,body_9_vel_y,body_9_vel_z,body_10_vel_x,body_10_vel_y,body_10_vel_z,body_11_vel_x,body_11_vel_y,body_11_vel_z,body_12_vel_x,body_12_vel_y,body_12_vel_z,body_13_vel_x,body_13_vel_y,body_13_vel_z
0.013338,-0.024589,0.023064,0.005223,-0.022345,0.004467,-0.004725,-0.036195,-0.000041,0.001677,-0.048863,-0.004962,0.046750,-0.016747,0.022275,0.097991,-0.008211,0.020274,0.006687,0.000083,-0.015372,0.056152,-0.046711,0.008279,0.044171,-0.048812,0.007081,0.026925,-0.053958,0.008062,0.067858,-0.056502,0.003645,0.023556,-0.043113,0.004715,0.010200,-0.033153,0.009074,0.024255,-0.025689,0.010388
0.023519,-0.024738,0.020952,0.021414,-0.022715,0.000170,0.004752,-0.035954,-0.007255,0.001712,-0.048589,-0.016000,0.055398,-0.017296,0.021994,0.106228,-0.008591,0.021187,0.007257,-0.000126,-0.016101,0.056008,-0.048751,0.005391,0.051307,-0.050290,0.003739,0.041062,-0.053866,0.004288,0.075971,-0.056839,0.001366,0.019920,-0.044771,0.002123,0.007139,-0.032912,0.007366,0.017711,-0.023714,0.009288
0.023209,-0.024619,0.025244,0.027819,-0.026582,0.011177,0.012072,-0.037734,0.004104,0.001203,-0.049477,-0.005714,0.047208,-0.020664,0.021359,0.094898,-0.009574,0.022669,0.004996,-0.000115,-0.011245,0.055856,-0.044715,0.009979,0.056406,-0.047055,0.006398,0.046505,-0.050059,0.007081,0.075587,-0.053388,0.005460,0.017905,-0.042415,0.008721,0.005764,-0.032716,0.013023,0.015551,-0.025573,0.014505
0.014170,-0.022251,0.026717,0.027527,-0.027797,0.015194,0.017148,-0.033197,0.010483,0.002422,-0.042870,0.000229,0.031155,-0.020792,0.021200,0.079533,-0.009309,0.025211,0.002109,-0.000038,-0.004649,0.045995,-0.041178,0.011986,0.050529,-0.044676,0.007119,0.039903,-0.048891,0.008944,0.061747,-0.054047,0.009904,0.007901,-0.039673,0.012953,-0.002388,-0.029658,0.017448,0.006817,-0.022102,0.019054
0.007819,-0.024415,0.027105,0.026103,-0.032300,0.018107,0.019487,-0.029737,0.015188,0.004023,-0.036075,0.005247,0.019556,-0.024258,0.020414,0.066834,-0.010254,0.026293,0.000127,0.000073,-0.000072,0.037008,-0.040426,0.012562,0.043813,-0.044246,0.007620,0.033612,-0.049282,0.010193,0.050211,-0.055790,0.013005,-0.001031,-0.038536,0.014376,-0.011058,-0.026283,0.019893,-0.004389,-0.016456,0.022187
0.015879,-0.037385,0.028461,0.029368,-0.045740,0.026066,0.018635,-0.034376,0.021706,0.004495,-0.035782,0.012881,0.024940,-0.037220,0.018201,0.063497,-0.014807,0.023823,0.000363,0.000066,-0.000488,0.039653,-0.044676,0.013124,0.046486,-0.046809,0.009644,0.039985,-0.049752,0.010984,0.056590,-0.054756,0.012667,0.000395,-0.040955,0.013032,-0.013702,-0.024969,0.020182,-0.013641,-0.011490,0.023740
0.023807,-0.037580,0.014862,0.034717,-0.046116,0.014303,0.020962,-0.030077,0.008857,0.005273,-0.029698,0.000889,0.028289,-0.037617,0.005694,0.060441,-0.014791,0.011259,0.003399,0.000029,-0.007988,0.042348,-0.044147,-0.001430,0.048596,-0.046010,-0.006183,0.045900,-0.047710,-0.005636,0.062281,-0.051999,-0.004438,0.003134,-0.041486,-0.001483,-0.012680,-0.027734,0.004641,-0.016491,-0.016096,0.007985
0.027489,-0.026590,-0.007840,0.039401,-0.034714,-0.012308,0.025578,-0.020291,-0.017779,0.006498,-0.022195,-0.025442,0.027988,-0.026647,-0.011495,0.059416,-0.010820,-0.005261,0.008043,-0.000135,-0.018820,0.043565,-0.040706,-0.025017,0.049037,-0.043861,-0.033150,0.048507,-0.045757,-0.032562,0.064703,-0.050343,-0.031062,0.005585,-0.041520,-0.023113,-0.008620,-0.034812,-0.020189,-0.011502,-0.029537,-0.018456
0.019231,0.005238,-0.015009,0.033566,-0.000391,-0.018854,0.026793,0.017424,-0.021277,0.012157,0.018259,-0.026290,0.011341,-0.000744,-0.016428,0.038980,0.007376,-0.010301,0.007555,0.012985,-0.016822,0.035048,-0.007322,-0.032604,0.039337,-0.010222,-0.040862,0.041506,-0.012035,-0.040404,0.057250,-0.016785,-0.038675,0.000591,-0.009470,-0.031227,-0.013297,-0.006627,-0.030104,-0.019184,-0.004462,-0.028985
0.007739,0.031410,-0.012410,0.025663,0.028119,-0.013920,0.029206,0.051400,-0.011882,0.020972,0.056576,-0.013491,-0.009425,0.019377,-0.013344,0.012906,0.023356,-0.008001,0.004375,0.025741,-0.008610,0.023726,0.024512,-0.030128,0.026702,0.022481,-0.036792,0.030886,0.020697,-0.036424,0.046314,0.015888,-0.034566,-0.007301,0.022575,-0.030419,-0.021988,0.024440,-0.029778,-0.032292,0.026167,-0.028525
0.001783,0.024786,-0.005894,0.024347,0.021427,-0.006161,0.037856,0.048981,0.000210,0.032374,0.056230,0.001324,-0.022045,0.012509,-0.006438,-0.005238,0.021091,-0.001954,0.000612,0.026179,0.000067,0.016601,0.022475,-0.023652,0.018517,0.020987,-0.028663,0.022930,0.018960,-0.028189,0.038686,0.014317,-0.026464,-0.013542,0.021612,-0.025310,-0.029921,0.025201,-0.023880,-0.043474,0.028699,-0.021985
-0.013525,0.016643,-0.001192,0.011655,0.013957,-0.000670,0.031646,0.045669,0.008634,0.027130,0.055012,0.010969,-0.039010,0.005600,-0.001944,-0.021991,0.014551,0.002910,-0.002831,0.020433,0.007583,-0.000888,0.019012,-0.017946,-0.000613,0.018508,-0.020714,0.001670,0.016588,-0.020109,0.014484,0.012138,-0.018132,-0.028651,0.019589,-0.021273,-0.045396,0.025299,-0.018835,-0.060603,0.030973,-0.016264
-0.030663,0.010724,-0.000883,-0.006195,0.009160,-0.000449,0.013565,0.042862,0.008945,0.007765,0.053270,0.010418,-0.051929,0.001890,-0.002252,-0.028959,0.006983,0.004123,-0.004149,0.011229,0.010179,-0.020143,0.015496,-0.016192,-0.021236,0.015920,-0.017283,-0.022349,0.014438,-0.016610,-0.014227,0.010152,-0.014168,-0.045243,0.017123,-0.020639,-0.060857,0.024306,-0.017466,-0.075299,0.031496,-0.014520
-0.029573,0.011826,-0.004678,-0.005292,0.010365,-0.002737,0.012828,0.043405,0.006073,0.000566,0.052915,0.005016,-0.048242,0.003572,-0.007899,-0.025010,0.001935,-0.001617,-0.002173,0.002976,0.005275,-0.024433,0.019164,-0.020341,-0.025154,0.019568,-0.020448,-0.026322,0.016183,-0.018546,-0.022563,0.009254,-0.013475,-0.048876,0.019697,-0.026645,-0.058382,0.022666,-0.025347,-0.065115,0.025855,-0.023855
-0.027310,0.015641,-0.011311,-0.003872,0.014850,-0.009893,0.014090,0.044768,-0.001109,-0.000104,0.052314,-0.002759,-0.042995,0.008151,-0.014282,-0.020279,0.000003,-0.008297,0.000158,-0.002229,-0.000492,-0.024320,0.022152,-0.025195,-0.022462,0.022767,-0.025030,-0.022371,0.019564,-0.023232,-0.019182,0.012152,-0.017693,-0.046656,0.021382,-0.031773,-0.050357,0.020575,-0.032172,-0.049066,0.020178,-0.032077
-0.041001,0.017907,-0.019576,-0.020225,0.019879,-0.024375,0.002138,0.044215,-0.013862,0.000365,0.049634,-0.010624,-0.051242,0.013183,-0.016940,-0.024768,0.001818,-0.009947,0.000106,-0.002202,-0.000412,-0.030515,0.016889,-0.025348,-0.023325,0.019132,-0.025462,-0.022660,0.022535,-0.027558,-0.012827,0.021827,-0.028125,-0.046000,0.016589,-0.028321,-0.049573,0.018425,-0.027454,-0.046633,0.020627,-0.026778
-0.051861,0.019745,-0.021276,-0.034109,0.022627,-0.028243,-0.008209,0.041530,-0.016415,0.001002,0.045098,-0.008807,-0.059358,0.016268,-0.016253,-0.032510,0.002610,-0.008985,-0.001016,-0.002464,0.002353,-0.038241,0.015600,-0.021299,-0.027812,0.018174,-0.021058,-0.024975,0.023458,-0.024473,-0.009484,0.025300,-0.027709,-0.048260,0.015101,-0.022244,-0.051716,0.016837,-0.021410,-0.048442,0.019138,-0.020706
-0.054388,0.020077,-0.015699,-0.038530,0.021644,-0.019713,-0.011889,0.038209,-0.007618,0.001299,0.041195,0.001684,-0.063229,0.015724,-0.012636,-0.039683,0.002000,-0.005954,-0.002773,-0.002778,0.006406,-0.043557,0.018696,-0.015318,-0.033601,0.020122,-0.014313,-0.028044,0.021642,-0.015844,-0.010646,0.020583,-0.016964,-0.052199,0.017389,-0.016821,-0.055610,0.016351,-0.017296,-0.053492,0.016235,-0.017126
-0.057299,0.024771,-0.012408,-0.045588,0.021169,-0.008237,-0.022858,0.034385,0.002079,-0.002579,0.036688,0.010277,-0.072636,0.017074,-0.014643,-0.054292,0.002129,-0.008670,-0.003691,-0.003080,0.008533,-0.044389,0.028396,-0.011493,-0.036031,0.027096,-0.010959,-0.031285,0.022294,-0.008942,-0.015539,0.016199,-0.005839,-0.050775,0.025358,-0.011623,-0.055053,0.020462,-0.013902,-0.053734,0.016919,-0.014510
-0.060105,0.029106,-0.010249,-0.052985,0.021880,0.000293,-0.035003,0.032615,0.008489,-0.009105,0.034817,0.014973,-0.080501,0.018939,-0.016176,-0.067035,0.002390,-0.010645,-0.004775,-0.003463,0.010934,-0.045780,0.036119,-0.009090,-0.039455,0.032928,-0.009454,-0.035458,0.024141,-0.005158,-0.021549,0.014846,0.000735,-0.049173,0.031774,-0.007744,-0.052354,0.024148,-0.011279,-0.049851,0.018241,-0.012524
-0.062434,0.028272,-0.007840,-0.058533,0.024305,0.000209,-0.042168,0.035176,0.007749,-0.016626,0.038325,0.014068,-0.079842,0.019914,-0.011036,-0.068430,0.002372,-0.005748,-0.006559,-0.003699,0.014953,-0.052983,0.033176,-0.007061,-0.048385,0.031337,-0.007943,-0.041423,0.025808,-0.005602,-0.026115,0.019139,-0.001905,-0.052870,0.029286,-0.005976,-0.050063,0.022293,-0.009192,-0.042712,0.017184,-0.010552
-0.055193,0.030303,-0.008920,-0.054283,0.028968,-0.003385,-0.039905,0.036033,0.003166,-0.018757,0.037432,0.008504,-0.065551,0.023665,-0.010706,-0.055891,0.003750,-0.006125,-0.005094,-0.003582,0.011578,-0.053909,0.032859,-0.008683,-0.052173,0.031729,-0.010133,-0.043558,0.027673,-0.008646,-0.028974,0.021978,-0.005606,-0.051497,0.028991,-0.008212,-0.044382,0.021412,-0.011683,-0.034015,0.015949,-0.013315
-0.041900,0.034217,-0.013153,-0.042250,0.033592,-0.008892,-0.029260,0.034859,-0.003175,-0.014361,0.032730,0.000856,-0.044677,0.028329,-0.015549,-0.035604,0.005824,-0.011786,-0.001051,-0.003189,0.002292,-0.047984,0.035374,-0.013370,-0.048819,0.033961,-0.015153,-0.040686,0.028865,-0.012990,-0.028583,0.022034,-0.008748,-0.045619,0.031081,-0.013558,-0.038035,0.021981,-0.017725,-0.027995,0.015188,-0.019648
-0.041720,0.033233,-0.011322,-0.049375,0.032246,-0.007284,-0.044865,0.026399,-0.005557,-0.034506,0.020412,-0.002906,-0.034885,0.029029,-0.014896,-0.022894,0.006686,-0.011011,0.000274,-0.002631,-0.000665,-0.051534,0.035576,-0.011829,-0.056893,0.035524,-0.012943,-0.048821,0.032239,-0.011735,-0.038455,0.026867,-0.008452,-0.045062,0.032278,-0.013296,-0.035801,0.023970,-0.017079,-0.025761,0.018238,-0.018723
-0.047336,0.031513,-0.009795,-0.063551,0.029888,-0.006688,-0.067872,0.018160,-0.009041,-0.056021,0.009547,-0.005861,-0.032134,0.029198,-0.013410,-0.015229,0.007466,-0.008785,0.000560,-0.002038,-0.001328,-0.058921,0.034477,-0.010502,-0.067686,0.036289,-0.010850,-0.059141,0.036068,-0.011335,-0.049685,0.033167,-0.009920,-0.048456,0.032479,-0.013184,-0.037201,0.025788,-0.016192,-0.026222,0.021806,-0.017443
