body_0_x,body_0_y,body_0_z,body_1_x,body_1_y,body_1_z,body_2_x,body_2_y,body_2_z,body_3_x,body_3_y,body_3_z,body_4_x,body_4_y,body_4_z,body_5_x,body_5_y,body_5_z,body_6_x,body_6_y,body_6_z,body_7_x,body_7_y,body_7_z,body_8_x,body_8_y,body_8_z,body_9_x,body_9_y,body_9_z,body_10_x,body_10_y,body_10_z,body_11_x,body_11_y,body_11_z,body_12_x,body_12_y,body_12_z,body_13_x,body_13_y,body_13_z
0.038337,0.035071,0.801958,0.024371,-0.078964,0.668781,0.084236,-0.067622,0.368758,0.220985,-0.053290,0.082987,0.028249,0.153980,0.671569,0.023455,0.160601,0.365536,0.138086,0.161032,0.069434,0.050048,0.034777,0.854805,-0.017039,-0.095449,1.086251,-0.014115,-0.182620,0.923446,-0.042891,-0.272982,0.766366,-0.007551,0.185281,1.076264,0.002432,0.263353,0.909291,-0.003202,0.339232,0.741384
0.039426,0.034360,0.802344,0.024949,-0.079261,0.668930,0.084606,-0.068271,0.368853,0.220948,-0.054138,0.082860,0.028451,0.153671,0.672455,0.026660,0.160306,0.366391,0.138258,0.161033,0.069122,0.051575,0.033977,0.855089,-0.015729,-0.096403,1.086397,-0.013450,-0.183639,0.923615,-0.041649,-0.274077,0.766474,-0.007019,0.184348,1.076382,0.002544,0.262650,0.909490,-0.002985,0.338699,0.741659
0.040505,0.033697,0.802768,0.025593,-0.079629,0.669215,0.085124,-0.068970,0.369102,0.220934,-0.055020,0.082832,0.028583,0.153294,0.673291,0.029650,0.159977,0.367226,0.138386,0.161031,0.068889,0.053085,0.033255,0.855410,-0.014370,-0.097346,1.086560,-0.012677,-0.184631,0.923794,-0.040389,-0.275148,0.766612,-0.006520,0.183427,1.076573,0.002646,0.261930,0.909752,-0.002799,0.338122,0.741985
0.041181,0.033197,0.803213,0.026048,-0.079902,0.669562,0.085755,-0.069517,0.369475,0.220970,-0.055536,0.082912,0.028223,0.153014,0.674108,0.031960,0.159698,0.368065,0.138386,0.161035,0.068889,0.054160,0.032716,0.855756,-0.013343,-0.098198,1.086727,-0.012157,-0.185570,0.924001,-0.039618,-0.276252,0.766870,-0.006430,0.182600,1.076849,0.002445,0.261341,0.910123,-0.002938,0.337721,0.742441
0.041946,0.032547,0.803656,0.026571,-0.080418,0.669984,0.086362,-0.070192,0.369908,0.221015,-0.056070,0.083075,0.027987,0.152493,0.674845,0.034192,0.159303,0.368846,0.138390,0.161031,0.068882,0.055312,0.032055,0.856101,-0.012305,-0.099123,1.086900,-0.011553,-0.186555,0.924200,-0.038755,-0.277375,0.767103,-0.006313,0.181694,1.077077,0.002240,0.260718,0.910467,-0.003180,0.337340,0.742898
0.042893,0.031684,0.804160,0.027239,-0.081329,0.670619,0.086917,-0.071049,0.370522,0.221064,-0.056569,0.083458,0.028000,0.151580,0.675474,0.036263,0.158729,0.369532,0.138403,0.161031,0.068859,0.056621,0.031235,0.856512,-0.011243,-0.100105,1.087157,-0.010783,-0.187537,0.924454,-0.037714,-0.278449,0.767364,-0.006132,0.180723,1.077277,0.002034,0.260123,0.910825,-0.003619,0.337090,0.743424
0.043936,0.031068,0.804059,0.028023,-0.081881,0.670554,0.087620,-0.071620,0.370439,0.221173,-0.056812,0.083109,0.028079,0.151021,0.675608,0.038124,0.158341,0.369723,0.138603,0.161027,0.068493,0.058022,0.030622,0.856316,-0.010194,-0.101014,1.086699,-0.009943,-0.188451,0.923997,-0.036597,-0.279464,0.766917,-0.005904,0.179828,1.076941,0.001926,0.259417,0.910561,-0.003929,0.336546,0.743243
0.045022,0.030556,0.803647,0.028860,-0.082274,0.670130,0.088392,-0.072062,0.370001,0.221309,-0.056944,0.082388,0.028188,0.150617,0.675488,0.039877,0.158035,0.369665,0.138895,0.161016,0.067954,0.059465,0.030094,0.855806,-0.009154,-0.101906,1.085871,-0.009070,-0.189351,0.923170,-0.035444,-0.280466,0.766102,-0.005653,0.178949,1.076325,0.001864,0.258635,0.909975,-0.004176,0.335836,0.742698
0.045731,0.031244,0.803254,0.029343,-0.081571,0.669819,0.089024,-0.071162,0.369727,0.221649,-0.055640,0.081999,0.027843,0.151311,0.675301,0.040411,0.158475,0.369506,0.139061,0.161627,0.067677,0.060531,0.030794,0.855313,-0.008545,-0.101467,1.085101,-0.008510,-0.188912,0.922397,-0.034602,-0.280133,0.765343,-0.005652,0.179396,1.075692,0.001600,0.259109,0.909342,-0.004745,0.336334,0.742089
0.046346,0.031860,0.802943,0.029763,-0.080974,0.669620,0.089730,-0.070315,0.369593,0.222146,-0.054340,0.081795,0.027391,0.151899,0.675170,0.040600,0.158869,0.369398,0.139150,0.162237,0.067539,0.061495,0.031434,0.854902,-0.008048,-0.101050,1.084430,-0.008062,-0.188502,0.921728,-0.033864,-0.279823,0.764684,-0.005733,0.179817,1.075117,0.001241,0.259578,0.908777,-0.005452,0.336853,0.741562
0.046785,0.032344,0.802812,0.030070,-0.080576,0.669656,0.090597,-0.069567,0.369754,0.222966,-0.053043,0.081972,0.026734,0.152287,0.675160,0.040103,0.159165,0.369392,0.139086,0.162848,0.067679,0.062268,0.031964,0.854673,-0.007765,-0.100661,1.083979,-0.007827,-0.188134,0.921286,-0.033322,-0.279552,0.764248,-0.005970,0.180206,1.074678,0.000703,0.260057,0.908368,-0.006427,0.337430,0.741217
0.046698,0.032671,0.802703,0.029888,-0.080332,0.669702,0.091012,-0.068909,0.369937,0.223264,-0.051794,0.082141,0.025712,0.152520,0.675152,0.039319,0.159306,0.369393,0.138971,0.163157,0.067903,0.062467,0.032339,0.854478,-0.008012,-0.100340,1.083626,-0.008185,-0.187820,0.920935,-0.033508,-0.279327,0.763921,-0.006661,0.180523,1.074252,-0.000257,0.260500,0.907990,-0.007793,0.338015,0.740924
0.046347,0.032914,0.802602,0.029463,-0.080171,0.669750,0.091202,-0.068297,0.370129,0.223300,-0.050570,0.082303,0.024508,0.152667,0.675144,0.038392,0.159366,0.369396,0.138830,0.163315,0.068168,0.062378,0.032633,0.854297,-0.008522,-0.100059,1.083317,-0.008837,-0.187540,0.920625,-0.034057,-0.279132,0.763644,-0.007579,0.180798,1.073827,-0.001430,0.260920,0.907624,-0.009356,0.338596,0.740651
0.046240,0.033324,0.802353,0.029274,-0.079918,0.669716,0.091752,-0.067595,0.370267,0.223326,-0.049337,0.082236,0.023638,0.152910,0.674908,0.037748,0.159410,0.369166,0.138835,0.163214,0.068155,0.062512,0.033115,0.853973,-0.008958,-0.099579,1.082824,-0.009284,-0.187114,0.920160,-0.034523,-0.278917,0.763304,-0.008481,0.181270,1.073181,-0.002399,0.261358,0.906958,-0.010405,0.339005,0.739977
0.045869,0.033701,0.802008,0.028887,-0.079598,0.669482,0.092040,-0.066881,0.370191,0.223349,-0.048144,0.082074,0.022657,0.153217,0.674637,0.037004,0.159491,0.368902,0.138840,0.163112,0.068143,0.062325,0.033536,0.853571,-0.009393,-0.099179,1.082338,-0.009767,-0.186691,0.919659,-0.034936,-0.278602,0.762856,-0.009371,0.181663,1.072572,-0.003370,0.261751,0.906345,-0.011419,0.339404,0.739371
0.044968,0.034027,0.801481,0.028099,-0.079130,0.668852,0.091803,-0.066143,0.369689,0.223368,-0.047036,0.081721,0.021448,0.153668,0.674298,0.036056,0.159651,0.368570,0.138843,0.163011,0.068134,0.061493,0.033850,0.853020,-0.009832,-0.098923,1.081879,-0.010324,-0.186257,0.919102,-0.035246,-0.278070,0.762202,-0.010239,0.181916,1.072048,-0.004346,0.262073,0.905849,-0.012366,0.339804,0.738912
0.043965,0.034404,0.801114,0.027212,-0.078693,0.668446,0.091400,-0.065478,0.369396,0.223393,-0.046049,0.081655,0.020195,0.154092,0.674029,0.034846,0.159797,0.368297,0.138776,0.162891,0.068255,0.060537,0.034233,0.852637,-0.010449,-0.098581,1.081579,-0.010986,-0.185839,0.918760,-0.035596,-0.277647,0.761807,-0.011219,0.182255,1.071686,-0.005419,0.262406,0.905479,-0.013437,0.340144,0.738548
0.042913,0.034809,0.800823,0.026278,-0.078269,0.668147,0.090915,-0.064847,0.369203,0.223421,-0.045121,0.081729,0.018922,0.154505,0.673791,0.033504,0.159935,0.368050,0.138673,0.162763,0.068441,0.059520,0.034651,0.852335,-0.011154,-0.098195,1.081355,-0.011700,-0.185429,0.918521,-0.035964,-0.277275,0.761536,-0.012255,0.182639,1.071400,-0.006539,0.262746,0.905168,-0.014568,0.340457,0.738227
0.041807,0.035566,0.800589,0.025204,-0.077800,0.668173,0.090002,-0.064299,0.369267,0.223184,-0.044331,0.082115,0.017508,0.154976,0.673337,0.031349,0.160106,0.367557,0.138546,0.162613,0.068669,0.058471,0.035487,0.852085,-0.011859,-0.097486,1.081137,-0.012469,-0.184900,0.918397,-0.036479,-0.276979,0.761510,-0.013170,0.183350,1.071277,-0.007581,0.263298,0.904963,-0.015629,0.340869,0.737960
0.040656,0.036286,0.800384,0.024065,-0.077323,0.668189,0.089001,-0.063716,0.369317,0.222850,-0.043505,0.082485,0.016108,0.155455,0.672944,0.029195,0.160282,0.367126,0.138383,0.162456,0.068962,0.057364,0.036271,0.851867,-0.012695,-0.096810,1.080939,-0.013325,-0.184361,0.918272,-0.037053,-0.276628,0.761452,-0.014159,0.184030,1.071167,-0.008617,0.263824,0.904776,-0.016608,0.341266,0.737714
0.039406,0.036924,0.800257,0.022790,-0.076836,0.668202,0.087819,-0.063069,0.369358,0.222317,-0.042621,0.082838,0.014731,0.155946,0.672689,0.027037,0.160465,0.366834,0.138147,0.162287,0.069382,0.056136,0.036946,0.851733,-0.013801,-0.096204,1.080801,-0.014361,-0.183809,0.918161,-0.037750,-0.276180,0.761351,-0.015304,0.184639,1.071103,-0.009651,0.264294,0.904648,-0.017429,0.341627,0.737528
0.038461,0.037639,0.800027,0.021819,-0.076230,0.668073,0.087000,-0.062392,0.369265,0.221937,-0.041870,0.082952,0.013829,0.156560,0.672344,0.025656,0.160724,0.366465,0.138075,0.162140,0.069507,0.055178,0.037681,0.851508,-0.014821,-0.095527,1.080522,-0.015298,-0.183211,0.917922,-0.038409,-0.275718,0.761152,-0.016302,0.185319,1.070902,-0.010512,0.264793,0.904364,-0.018089,0.341980,0.737170
0.037670,0.038391,0.799747,0.021000,-0.075567,0.667873,0.086364,-0.061703,0.369106,0.221636,-0.041186,0.082947,0.013165,0.157233,0.671955,0.024664,0.161020,0.366059,0.138084,0.162004,0.069485,0.054357,0.038445,0.851239,-0.015797,-0.094817,1.080174,-0.016184,-0.182592,0.917621,-0.039049,-0.275252,0.760904,-0.017224,0.186032,1.070633,-0.011286,0.265306,0.904004,-0.018666,0.342327,0.736728
0.036692,0.039022,0.799599,0.019847,-0.074989,0.667779,0.085014,-0.061269,0.368961,0.220480,-0.040923,0.082879,0.012506,0.157829,0.671711,0.024078,0.161304,0.365813,0.138090,0.161904,0.069468,0.053341,0.039073,0.851104,-0.017143,-0.094093,1.079993,-0.017428,-0.181882,0.917446,-0.040057,-0.274601,0.760729,-0.018232,0.186757,1.070436,-0.012073,0.265874,0.903740,-0.019218,0.342790,0.736408
0.035656,0.039641,0.799384,0.018627,-0.074360,0.667556,0.083413,-0.060845,0.368646,0.219314,-0.040664,0.082756,0.011806,0.158473,0.671455,0.023593,0.161618,0.365562,0.138117,0.161822,0.069417,0.052262,0.039673,0.850903,-0.018561,-0.093387,1.079748,-0.018720,-0.181151,0.917185,-0.041114,-0.273898,0.760452,-0.019322,0.187464,1.070160,-0.012931,0.266438,0.903403,-0.019808,0.343261,0.736020
0.034499,0.040234,0.799037,0.017272,-0.073630,0.667080,0.081306,-0.060439,0.367992,0.218122,-0.040404,0.082529,0.011022,0.159213,0.671179,0.023309,0.161993,0.365303,0.138183,0.161774,0.069297,0.051056,0.040219,0.850571,-0.020124,-0.092713,1.079378,-0.020111,-0.180373,0.916758,-0.042271,-0.273086,0.759971,-0.020579,0.188136,1.069726,-0.013933,0.266996,0.902923,-0.020475,0.343747,0.735497
0.033326,0.040829,0.798697,0.015366,-0.073123,0.666771,0.075246,-0.060821,0.366785,0.207546,-0.041812,0.079129,0.010240,0.159740,0.670712,0.022872,0.162273,0.364847,0.138308,0.161718,0.069066,0.049873,0.040820,0.850234,-0.021492,-0.091970,1.079064,-0.021361,-0.179430,0.916335,-0.043256,-0.271995,0.759423,-0.021626,0.188878,1.069338,-0.014831,0.267549,0.902451,-0.021050,0.344146,0.734946
0.032143,0.041427,0.798360,0.013182,-0.072720,0.666553,0.067183,-0.061564,0.365408,0.192178,-0.044002,0.074409,0.009459,0.160163,0.670148,0.022358,0.162508,0.364292,0.138463,0.161658,0.068781,0.048702,0.041453,0.849893,-0.022763,-0.091188,1.078776,-0.022539,-0.178400,0.915912,-0.044157,-0.270759,0.758841,-0.022568,0.189657,1.068973,-0.015677,0.268102,0.901983,-0.021582,0.344503,0.734380
