body_0_w,body_0_x,body_0_y,body_0_z,body_1_w,body_1_x,body_1_y,body_1_z,body_2_w,body_2_x,body_2_y,body_2_z,body_3_w,body_3_x,body_3_y,body_3_z,body_4_w,body_4_x,body_4_y,body_4_z,body_5_w,body_5_x,body_5_y,body_5_z,body_6_w,body_6_x,body_6_y,body_6_z,body_7_w,body_7_x,body_7_y,body_7_z,body_8_w,body_8_x,body_8_y,body_8_z,body_9_w,body_9_x,body_9_y,body_9_z,body_10_w,body_10_x,body_10_y,body_10_z,body_11_w,body_11_x,body_11_y,body_11_z,body_12_w,body_12_x,body_12_y,body_12_z,body_13_w,body_13_x,body_13_y,body_13_z
0.023781,0.057390,-0.004410,0.998059,0.023864,-0.011414,-0.017320,0.999500,-0.015433,-0.227317,-0.020620,0.973480,-0.013172,-0.109266,0.023600,0.993645,0.023575,0.109247,-0.006147,0.993716,0.015523,-0.199747,-0.002580,0.979721,0.016734,-0.150393,0.005577,0.988469,0.017496,-0.120475,0.019739,0.992366,0.045104,-0.072087,0.211391,0.973695,-0.228349,-0.547934,0.116233,0.796313,-0.247888,-0.663825,0.123312,0.694753,-0.010526,-0.078320,-0.191584,0.978290,0.176164,-0.640770,-0.113998,0.738502,0.197114,-0.677684,-0.124430,0.697429
0.023372,0.062858,-0.005105,0.997736,0.023536,-0.011361,-0.016682,0.999519,-0.016163,-0.227863,-0.020140,0.973351,-0.013517,-0.110922,0.026243,0.993391,0.023173,0.105228,-0.006470,0.994157,0.015475,-0.196017,-0.002975,0.980474,0.016729,-0.149845,0.005599,0.988552,0.016503,-0.120828,0.019628,0.992342,0.044728,-0.067918,0.212039,0.973872,-0.231592,-0.548755,0.113127,0.795258,-0.249891,-0.664943,0.121112,0.693352,-0.011653,-0.076927,-0.191758,0.978353,0.176898,-0.641149,-0.113424,0.738085,0.197548,-0.678864,-0.124105,0.696215
0.022701,0.067929,-0.006376,0.997412,0.023007,-0.011131,-0.015998,0.999545,-0.016941,-0.228093,-0.019632,0.973294,-0.013877,-0.112795,0.028937,0.993100,0.022446,0.100762,-0.006792,0.994634,0.015420,-0.191579,-0.003348,0.981350,0.016715,-0.148859,0.005639,0.988701,0.015432,-0.121477,0.019591,0.992281,0.044284,-0.064356,0.212531,0.974027,-0.234691,-0.549510,0.110099,0.794252,-0.251756,-0.666010,0.119024,0.692014,-0.012942,-0.075702,-0.192128,0.978360,0.177574,-0.641406,-0.113175,0.737738,0.197929,-0.679854,-0.124126,0.695137
0.021509,0.072208,-0.008798,0.997119,0.022076,-0.010553,-0.015223,0.999585,-0.017816,-0.227693,-0.019065,0.973383,-0.014274,-0.115102,0.031735,0.992744,0.021090,0.095401,-0.007116,0.995190,0.015380,-0.185726,-0.003681,0.982474,0.016710,-0.146996,0.005710,0.988979,0.014196,-0.122719,0.019717,0.992144,0.043712,-0.062010,0.212724,0.974163,-0.237559,-0.550141,0.107316,0.793343,-0.253420,-0.666967,0.117237,0.690789,-0.014560,-0.074807,-0.192876,0.978259,0.178128,-0.641417,-0.113575,0.737533,0.198200,-0.680464,-0.124843,0.694334
0.019873,0.076361,-0.010353,0.996828,0.020633,-0.010248,-0.014566,0.999628,-0.018597,-0.226888,-0.018577,0.973566,-0.014638,-0.116402,0.034475,0.992496,0.019441,0.090504,-0.007515,0.995678,0.015335,-0.180466,-0.004067,0.983453,0.016712,-0.145764,0.005767,0.989161,0.012693,-0.123859,0.019614,0.992025,0.042821,-0.059892,0.212800,0.974318,-0.240453,-0.550318,0.104520,0.792722,-0.255133,-0.667527,0.115423,0.689922,-0.016385,-0.074089,-0.193468,0.978168,0.178316,-0.641452,-0.114090,0.737378,0.198110,-0.681053,-0.125704,0.693626
0.018014,0.080450,-0.011473,0.996530,0.018935,-0.010084,-0.013976,0.999672,-0.019325,-0.225884,-0.018135,0.973794,-0.014983,-0.117203,0.037177,0.992299,0.017642,0.085838,-0.007970,0.996121,0.015288,-0.175502,-0.004507,0.984350,0.016719,-0.144847,0.005790,0.989296,0.011058,-0.124950,0.019388,0.991912,0.041770,-0.057888,0.212815,0.974481,-0.243350,-0.550265,0.101706,0.792240,-0.256860,-0.667890,0.113585,0.689234,-0.018313,-0.073461,-0.193986,0.978079,0.178324,-0.641498,-0.114665,0.737247,0.197844,-0.681632,-0.126641,0.692963
0.015621,0.084239,-0.012360,0.996247,0.016696,-0.010437,-0.013188,0.999719,-0.021414,-0.224817,-0.017743,0.974004,-0.016686,-0.117908,0.040041,0.992077,0.015336,0.081471,-0.008406,0.996522,0.015220,-0.171461,-0.004889,0.985061,0.016710,-0.144847,0.005808,0.989296,0.009299,-0.125921,0.018995,0.991815,0.040546,-0.056066,0.212942,0.974612,-0.246251,-0.549632,0.099184,0.792103,-0.258679,-0.667727,0.112011,0.688970,-0.020321,-0.073156,-0.194608,0.977938,0.178256,-0.641535,-0.115492,0.737102,0.197498,-0.682133,-0.127860,0.692345
0.013394,0.087911,-0.012902,0.995955,0.014589,-0.010631,-0.012552,0.999758,-0.023550,-0.223816,-0.017521,0.974189,-0.018436,-0.118628,0.042873,0.991841,0.013236,0.077435,-0.008981,0.996869,0.015151,-0.167571,-0.005446,0.985729,0.016721,-0.144818,0.005800,0.989300,0.007569,-0.127017,0.018699,0.991695,0.039360,-0.054454,0.212974,0.974745,-0.249016,-0.549062,0.096696,0.791942,-0.260371,-0.667622,0.110481,0.688681,-0.022349,-0.072776,-0.195374,0.977770,0.178234,-0.641362,-0.116469,0.737104,0.197208,-0.682395,-0.129234,0.691914
0.011500,0.091352,-0.012754,0.995671,0.012732,-0.010492,-0.012196,0.999790,-0.025800,-0.222932,-0.017628,0.974333,-0.020303,-0.119359,0.045661,0.991593,0.011515,0.074071,-0.009788,0.997138,0.015032,-0.163981,-0.006290,0.986329,0.016721,-0.144728,0.005803,0.989313,0.005906,-0.128362,0.018608,0.991535,0.038263,-0.053257,0.212821,0.974888,-0.251515,-0.548625,0.094308,0.791743,-0.261821,-0.667631,0.109068,0.688348,-0.024407,-0.072241,-0.196419,0.977551,0.178305,-0.640769,-0.117735,0.737402,0.197027,-0.682183,-0.130906,0.691860
0.009522,0.094766,-0.013024,0.995369,0.010842,-0.010412,-0.011614,0.999820,-0.028526,-0.221943,-0.017590,0.974484,-0.022631,-0.119442,0.049037,0.991371,0.009655,0.071149,-0.010354,0.997365,0.014957,-0.161174,-0.006847,0.986789,0.016694,-0.143286,0.005734,0.989524,0.004405,-0.129872,0.018212,0.991354,0.037335,-0.052342,0.212673,0.975006,-0.253889,-0.548244,0.092101,0.791509,-0.263165,-0.667689,0.107864,0.687969,-0.026304,-0.071784,-0.196927,0.977433,0.178074,-0.640325,-0.118563,0.737711,0.196530,-0.682128,-0.132146,0.691820
