body_0_x,body_0_y,body_0_z,body_1_x,body_1_y,body_1_z,body_2_x,body_2_y,body_2_z,body_3_x,body_3_y,body_3_z,body_4_x,body_4_y,body_4_z,body_5_x,body_5_y,body_5_z,body_6_x,body_6_y,body_6_z,body_7_x,body_7_y,body_7_z,body_8_x,body_8_y,body_8_z,body_9_x,body_9_y,body_9_z,body_10_x,body_10_y,body_10_z,body_11_x,body_11_y,body_11_z,body_12_x,body_12_y,body_12_z,body_13_x,body_13_y,body_13_z
-1.306605,-0.190782,0.815758,-1.425937,-0.193181,0.685197,-1.449837,-0.192297,0.379808,-1.344817,-0.485037,0.440088,-1.193335,-0.182283,0.680158,-1.203587,-0.164693,0.374698,-1.202699,-0.464155,0.469874,-1.306132,-0.195927,0.869643,-1.452488,-0.184571,1.101556,-1.481104,-0.114700,0.933169,-1.502107,0.034615,0.828137,-1.172113,-0.175483,1.108501,-1.139190,-0.096908,0.945108,-1.165686,0.042280,0.828451
-1.306689,-0.190489,0.816001,-1.425943,-0.192955,0.685369,-1.449407,-0.191643,0.379952,-1.345205,-0.484633,0.440471,-1.193346,-0.181925,0.680464,-1.203862,-0.164626,0.374997,-1.202312,-0.464035,0.470366,-1.306193,-0.195629,0.869887,-1.452116,-0.184787,1.102144,-1.480901,-0.112812,0.934690,-1.498957,0.040428,0.834848,-1.171776,-0.175214,1.108579,-1.141716,-0.094535,0.945662,-1.171922,0.046146,0.831727
-1.306841,-0.190098,0.816153,-1.426032,-0.192605,0.685462,-1.449047,-0.191007,0.380017,-1.345604,-0.484200,0.440876,-1.193437,-0.181478,0.680671,-1.204147,-0.164509,0.375192,-1.201927,-0.463855,0.470776,-1.306326,-0.195241,0.870040,-1.451851,-0.184785,1.102603,-1.480797,-0.111070,0.935951,-1.495816,0.045346,0.840596,-1.171538,-0.174924,1.108579,-1.144239,-0.092466,0.946069,-1.178018,0.049435,0.834680
-1.307133,-0.189510,0.816125,-1.426283,-0.192004,0.685398,-1.448827,-0.190406,0.379921,-1.346025,-0.483714,0.441332,-1.193689,-0.180852,0.680678,-1.204455,-0.164291,0.375178,-1.201545,-0.463554,0.471022,-1.306604,-0.194674,0.870011,-1.451801,-0.184348,1.102807,-1.480894,-0.109592,0.936658,-1.492979,0.048852,0.844266,-1.171495,-0.174589,1.108425,-1.146736,-0.090956,0.946112,-1.183829,0.051751,0.836827
-1.307681,-0.188981,0.816086,-1.426857,-0.191361,0.685381,-1.448820,-0.189900,0.379862,-1.346470,-0.483254,0.441820,-1.194262,-0.180228,0.680622,-1.204758,-0.163744,0.375109,-1.201367,-0.463129,0.470611,-1.307096,-0.194203,0.869967,-1.451630,-0.183799,1.103183,-1.481148,-0.108508,0.937364,-1.490640,0.051216,0.846891,-1.171308,-0.174342,1.108030,-1.149066,-0.090290,0.945571,-1.189305,0.053005,0.838180
-1.308356,-0.188480,0.816041,-1.427591,-0.190697,0.685388,-1.448920,-0.189442,0.379823,-1.346928,-0.482808,0.442324,-1.194996,-0.179605,0.680535,-1.205060,-0.163033,0.375013,-1.201289,-0.462642,0.469874,-1.307695,-0.193780,0.869915,-1.451396,-0.183196,1.103643,-1.481479,-0.107625,0.938065,-1.488536,0.052987,0.848959,-1.171050,-0.174140,1.107513,-1.151315,-0.090043,0.944754,-1.194594,0.053730,0.839190
-1.308962,-0.187183,0.816076,-1.428268,-0.189433,0.685491,-1.448964,-0.189087,0.379881,-1.347415,-0.482561,0.442602,-1.195675,-0.178336,0.680505,-1.206113,-0.162552,0.374954,-1.201109,-0.462179,0.469717,-1.308287,-0.192511,0.869947,-1.451877,-0.182477,1.103752,-1.482321,-0.106796,0.938301,-1.487817,0.053508,0.848575,-1.171530,-0.173915,1.107627,-1.153420,-0.087437,0.945928,-1.200090,0.059430,0.846164
-1.309548,-0.186069,0.816027,-1.428906,-0.188314,0.685492,-1.448959,-0.188723,0.379840,-1.347889,-0.482321,0.442764,-1.196316,-0.177201,0.680409,-1.206983,-0.162121,0.374830,-1.201015,-0.461721,0.469637,-1.308847,-0.191440,0.869893,-1.452207,-0.181913,1.103852,-1.483073,-0.106036,0.938577,-1.487121,0.054220,0.848723,-1.171858,-0.173617,1.107536,-1.155291,-0.085646,0.946477,-1.204822,0.063268,0.851180
-1.310094,-0.185319,0.815806,-1.429468,-0.187483,0.685288,-1.448856,-0.188342,0.379596,-1.348341,-0.482094,0.442688,-1.196881,-0.176332,0.680179,-1.207486,-0.161789,0.374573,-1.201093,-0.461282,0.469713,-1.309344,-0.190769,0.869665,-1.452229,-0.181658,1.103937,-1.483637,-0.105412,0.938942,-1.486419,0.055348,0.849963,-1.171876,-0.173167,1.107035,-1.156695,-0.085452,0.945700,-1.208165,0.063787,0.851943
-1.310597,-0.184681,0.815617,-1.429974,-0.186808,0.685102,-1.448695,-0.187971,0.379372,-1.348770,-0.481852,0.442811,-1.197393,-0.175547,0.679991,-1.207824,-0.161512,0.374355,-1.201287,-0.460860,0.469977,-1.309823,-0.190201,0.869468,-1.452552,-0.181408,1.103849,-1.484269,-0.105118,0.938941,-1.485886,0.055956,0.850518,-1.172208,-0.172445,1.106729,-1.157941,-0.085111,0.945105,-1.210839,0.064189,0.852245
