joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.037500,-0.017834,-0.011598,0.098972,0.008605,-0.031419,0.257810,-0.033815,0.046128,1.807241,1.959530,-0.364364,-0.437244,-0.301050,-0.635004,0.170949,-0.122228,-0.261800,0.076381,-0.099202,0.457588,0.716929,0.743378,-0.061039,0.021574,0.260160,0.282551,-0.050000,-0.049998
0.039434,-0.014978,-0.010022,0.096362,0.007832,-0.031265,0.255874,-0.034182,0.047638,1.807063,1.959681,-0.364453,-0.434831,-0.300600,-0.633648,0.171998,-0.119245,-0.261800,0.073559,-0.110947,0.457473,0.712167,0.737389,-0.063114,0.021423,0.261440,0.283118,-0.050000,-0.049997
0.040645,-0.013004,-0.008208,0.093602,0.006242,-0.031539,0.253452,-0.035731,0.049604,1.807825,1.959438,-0.365378,-0.433236,-0.299865,-0.631372,0.173280,-0.117984,-0.261800,0.070134,-0.121456,0.457498,0.707111,0.733482,-0.065014,0.021372,0.262622,0.284393,-0.050000,-0.049999
0.042056,-0.010899,-0.006962,0.091113,0.004618,-0.031010,0.251269,-0.037144,0.051373,1.808450,1.959468,-0.366121,-0.432440,-0.299386,-0.629519,0.174841,-0.117140,-0.261800,0.066650,-0.131505,0.457739,0.702486,0.730064,-0.066836,0.021381,0.263934,0.285862,-0.050000,-0.050000
0.043868,-0.008532,-0.006854,0.089166,0.002931,-0.028873,0.249565,-0.038285,0.052750,1.808799,1.960042,-0.366498,-0.433243,-0.299423,-0.628516,0.176958,-0.117127,-0.261800,0.063047,-0.140628,0.458411,0.698725,0.727622,-0.068503,0.021513,0.265506,0.287722,-0.050000,-0.050000
0.044860,-0.006547,-0.006230,0.087868,0.002009,-0.028196,0.247453,-0.040081,0.054566,1.809153,1.960223,-0.368212,-0.433884,-0.299339,-0.627614,0.178151,-0.117283,-0.261800,0.059438,-0.149919,0.459038,0.694554,0.725844,-0.070197,0.021653,0.266919,0.289847,-0.050000,-0.050000
0.045441,-0.004751,-0.005349,0.086895,0.001470,-0.028248,0.245134,-0.042206,0.056604,1.809511,1.960207,-0.370596,-0.434445,-0.299194,-0.626762,0.178884,-0.117523,-0.261800,0.055824,-0.159300,0.459644,0.690177,0.724396,-0.071906,0.021799,0.268255,0.292108,-0.050000,-0.050000
0.045506,-0.003549,-0.005040,0.085700,0.000804,-0.027799,0.242863,-0.044548,0.059543,1.811145,1.961130,-0.371732,-0.435856,-0.298718,-0.626534,0.183280,-0.117749,-0.261800,0.052310,-0.164221,0.459836,0.690550,0.723079,-0.072864,0.021883,0.271040,0.294420,-0.050000,-0.050000
0.045248,-0.002622,-0.004911,0.084553,0.000122,-0.027563,0.240641,-0.046883,0.062739,1.812997,1.962089,-0.373394,-0.437437,-0.298345,-0.626470,0.187276,-0.117944,-0.261800,0.048835,-0.168789,0.459812,0.691035,0.721760,-0.073765,0.021930,0.273845,0.296739,-0.050000,-0.050000
0.044344,-0.002246,-0.005144,0.083502,-0.000594,-0.027753,0.238520,-0.049200,0.066442,1.815282,1.963119,-0.376102,-0.439355,-0.298176,-0.626736,0.190471,-0.118077,-0.261800,0.045444,-0.172646,0.459359,0.691744,0.720438,-0.074551,0.021902,0.276686,0.299070,-0.050000,-0.050000
0.041886,-0.002817,-0.005317,0.082999,-0.001283,-0.028132,0.236069,-0.051852,0.071381,1.817731,1.964644,-0.380168,-0.441847,-0.298439,-0.627530,0.193547,-0.118807,-0.261800,0.042139,-0.175779,0.458191,0.692287,0.719190,-0.075237,0.021759,0.279439,0.299908,-0.050000,-0.050000
0.038654,-0.003861,-0.005461,0.082769,-0.001958,-0.028607,0.233455,-0.054670,0.076933,1.820261,1.966414,-0.384909,-0.444623,-0.298918,-0.628586,0.196563,-0.119834,-0.261800,0.038881,-0.178547,0.456668,0.692745,0.717980,-0.075872,0.021559,0.282144,0.300000,-0.050000,-0.050000
0.032991,-0.006157,-0.005691,0.083057,-0.002532,-0.028999,0.230223,-0.057797,0.083722,1.821029,1.969210,-0.392619,-0.448447,-0.298699,-0.630358,0.197314,-0.121431,-0.261800,0.035501,-0.182649,0.454383,0.689754,0.716210,-0.076804,0.021223,0.283719,0.300000,-0.050000,-0.050000
0.026789,-0.008920,-0.005800,0.083238,-0.003106,-0.029670,0.226865,-0.061011,0.091024,1.822586,1.972268,-0.400571,-0.452566,-0.299128,-0.632368,0.198673,-0.123265,-0.261800,0.032099,-0.186492,0.451850,0.686702,0.714291,-0.077708,0.020844,0.285285,0.300000,-0.050000,-0.050000
0.019498,-0.012620,-0.005665,0.083204,-0.003682,-0.030895,0.223252,-0.064401,0.099360,1.825720,1.975853,-0.409018,-0.457276,-0.300853,-0.634857,0.201249,-0.125577,-0.261800,0.028653,-0.189821,0.448815,0.683526,0.712069,-0.078554,0.020380,0.286833,0.300000,-0.050000,-0.049999
0.011387,-0.016303,-0.005546,0.083712,-0.003695,-0.031592,0.219181,-0.068111,0.109187,1.827921,1.980933,-0.418413,-0.463099,-0.300729,-0.638033,0.204216,-0.128367,-0.261800,0.025236,-0.192784,0.445619,0.680241,0.710013,-0.079354,0.019901,0.288400,0.300000,-0.050000,-0.049999
0.002861,-0.019979,-0.005435,0.084492,-0.003426,-0.032026,0.214879,-0.071981,0.119762,1.829656,1.986761,-0.428286,-0.469481,-0.299681,-0.641554,0.207379,-0.131396,-0.261800,0.021834,-0.195566,0.442340,0.676901,0.708039,-0.080133,0.019414,0.289977,0.300000,-0.050000,-0.049999
-0.005302,-0.024301,-0.005215,0.085152,-0.003737,-0.032851,0.210906,-0.075429,0.131012,1.836837,1.991093,-0.436779,-0.474731,-0.302784,-0.644939,0.210395,-0.133530,-0.261800,0.018477,-0.197966,0.439261,0.674128,0.706509,-0.080831,0.018954,0.291753,0.300000,-0.050000,-0.049999
-0.013975,-0.028846,-0.004826,0.085589,-0.003973,-0.034157,0.206301,-0.079110,0.142272,1.843431,1.994956,-0.445556,-0.479587,-0.306018,-0.648088,0.213142,-0.135651,-0.261800,0.015159,-0.200323,0.436130,0.671529,0.705173,-0.081516,0.018485,0.293595,0.300000,-0.050000,-0.050000
-0.023647,-0.033829,-0.004099,0.085579,-0.004057,-0.036418,0.200442,-0.083248,0.153525,1.848834,1.997871,-0.454876,-0.483640,-0.309504,-0.650758,0.215345,-0.137739,-0.261800,0.011926,-0.202589,0.432902,0.669286,0.704228,-0.082170,0.018003,0.295564,0.300000,-0.050000,-0.050000
-0.033044,-0.038158,-0.003862,0.085334,-0.004172,-0.037942,0.194475,-0.087460,0.164304,1.854179,2.000417,-0.463137,-0.487554,-0.312919,-0.652506,0.217118,-0.139370,-0.261800,0.008701,-0.204480,0.429662,0.667091,0.703570,-0.082757,0.017518,0.297525,0.300000,-0.050000,-0.050000
-0.042295,-0.042158,-0.003871,0.084970,-0.004301,-0.039095,0.188459,-0.091705,0.174837,1.859490,2.002776,-0.470861,-0.491396,-0.316297,-0.653791,0.218675,-0.140771,-0.261800,0.005484,-0.206181,0.426419,0.664921,0.703057,-0.083309,0.017033,0.299480,0.300000,-0.050000,-0.050000
-0.049441,-0.044372,-0.004064,0.084000,-0.004892,-0.039496,0.182804,-0.096120,0.183499,1.864958,2.003865,-0.476007,-0.493049,-0.321097,-0.654021,0.219357,-0.141540,-0.261800,0.002643,-0.207965,0.423475,0.663376,0.703486,-0.083836,0.016601,0.299792,0.300000,-0.050000,-0.050000
-0.055133,-0.045681,-0.004194,0.083164,-0.005330,-0.039591,0.177274,-0.100540,0.191037,1.869977,2.004549,-0.479827,-0.493625,-0.326054,-0.654727,0.219819,-0.141939,-0.261800,-0.000303,-0.209745,0.420769,0.662114,0.704121,-0.084349,0.016203,0.300000,0.300000,-0.050000,-0.050000
-0.057932,-0.045187,-0.004200,0.082598,-0.005462,-0.039074,0.171980,-0.104981,0.196346,1.874111,2.004422,-0.481006,-0.492051,-0.331332,-0.656386,0.219843,-0.141600,-0.261800,-0.003469,-0.211521,0.418533,0.661413,0.705169,-0.084832,0.015875,0.300000,0.300000,-0.050000,-0.050000
-0.057364,-0.043031,-0.004216,0.082033,-0.005391,-0.038113,0.167149,-0.109079,0.199398,1.877028,2.004518,-0.478847,-0.487951,-0.335225,-0.657959,0.219809,-0.140457,-0.261800,-0.006549,-0.213098,0.417006,0.661478,0.706094,-0.085249,0.015644,0.300000,0.300000,-0.050000,-0.050000
-0.055111,-0.040044,-0.004237,0.081469,-0.005218,-0.036931,0.162547,-0.113008,0.201322,1.879336,2.004724,-0.475018,-0.482587,-0.338425,-0.659488,0.219747,-0.138911,-0.261800,-0.009587,-0.214576,0.415832,0.661926,0.706958,-0.085633,0.015461,0.300000,0.300000,-0.050000,-0.050000
-0.049024,-0.034105,-0.004751,0.080617,-0.004691,-0.035756,0.159417,-0.114864,0.199944,1.877747,2.002197,-0.467351,-0.473813,-0.340003,-0.660269,0.220411,-0.136373,-0.261800,-0.012422,-0.216438,0.415772,0.663465,0.706690,-0.086044,0.015414,0.300000,0.300000,-0.050000,-0.050000
