body_0_vel_x,body_0_vel_y,body_0_vel_z,body_1_vel_x,body_1_vel_y,body_1_vel_z,body_2_vel_x,body_2_vel_y,body_2_vel_z,body_3_vel_x,body_3_vel_y,body_3_vel_z,body_4_vel_x,body_4_vel_y,body_4_vel_z,body_5_vel_x,body_5_vel_y,body_5_vel_z,body_6_vel_x,body_6_vel_y,body_6_vel_z,body_7_vel_x,body_7_vel_y,body_7_vel_z,body_8_vel_x,body_8_vel_y,body_8_vel_z,body_9_vel_x,body_9_vel_y,body_9_vel_z,body_10_vel_x,body_10_vel_y,body_10_vel_z,body_11_vel_x,body_11_vel_y,body_11_vel_z,body_12_vel_x,body_12_vel_y,body_12_vel_z,body_13_vel_x,body_13_vel_y,body_13_vel_z
-0.012142,0.025926,0.003163,-0.007458,0.027761,0.005472,-0.012487,0.031016,0.009852,-0.031616,0.022902,0.022164,-0.020363,0.023384,-0.000538,-0.014926,0.012982,0.004689,0.009656,0.011779,0.011596,0.011177,0.010320,0.004091,0.005803,0.033999,0.032932,0.053089,0.131871,0.122638,0.190596,0.273019,0.306093,-0.028712,0.042817,-0.009646,-0.184808,0.109457,0.046881,-0.336032,0.148002,0.153823
-0.023946,0.027980,-0.001614,-0.020573,0.022425,0.000180,-0.021625,0.010205,0.014914,-0.035518,0.005203,0.038472,-0.030444,0.019908,-0.009803,-0.020445,0.003796,-0.004113,0.002796,0.001820,0.002635,0.009271,0.027836,-0.001015,0.003421,0.047497,0.028093,0.041098,0.102269,0.082524,0.167515,0.193449,0.198028,-0.026499,0.040008,-0.026701,-0.175357,0.072533,0.008842,-0.320574,0.092997,0.101015
-0.035476,0.024269,-0.002037,-0.033155,0.012509,-0.000069,-0.029517,-0.011937,0.022373,-0.038441,-0.014233,0.054137,-0.039922,0.013251,-0.013815,-0.025903,-0.005482,-0.011585,-0.006027,-0.009899,-0.009880,0.012568,0.039390,-0.001693,0.006311,0.055607,0.033024,0.031557,0.081107,0.063817,0.145862,0.140665,0.134735,-0.019962,0.037329,-0.042710,-0.166019,0.041897,-0.023844,-0.308800,0.052650,0.062044
-0.035763,0.042810,-0.000210,-0.030294,0.024323,-0.002833,-0.020657,-0.013440,0.018890,-0.030530,-0.016034,0.045523,-0.042820,0.026135,-0.012665,-0.027528,-0.003377,-0.006924,0.001451,-0.006169,-0.002793,-0.006188,0.043643,0.000414,-0.014050,0.054571,0.020969,0.006606,0.059433,0.026944,0.099305,0.077878,0.034690,-0.035431,0.051897,-0.016167,-0.164349,0.112284,0.057107,-0.314132,0.191554,0.219474
-0.032310,0.058266,-0.000347,-0.024594,0.035864,-0.006158,-0.012913,-0.009375,0.012102,-0.025642,-0.013276,0.030647,-0.042673,0.037464,-0.013001,-0.029946,-0.000862,-0.000742,0.005710,-0.000682,0.010525,-0.020434,0.043640,0.000566,-0.029571,0.048802,0.009128,-0.013926,0.046182,0.003300,0.055394,0.040501,-0.024309,-0.045774,0.062484,0.006001,-0.153702,0.161336,0.120497,-0.298874,0.280332,0.337574
-0.032612,0.045309,-0.006678,-0.028671,0.025157,-0.008258,-0.024280,-0.014840,0.009193,-0.037917,-0.019028,0.027119,-0.043033,0.026222,-0.021660,-0.037712,-0.009138,-0.003820,-0.012474,-0.007603,0.016929,-0.003114,0.042148,-0.006154,-0.011293,0.042362,0.014697,-0.006577,0.048984,0.023097,0.053318,0.060806,0.030630,-0.024044,0.048288,-0.024672,-0.120659,0.078285,0.027781,-0.234029,0.126316,0.158595
-0.031473,0.034086,-0.010142,-0.029847,0.016568,-0.008570,-0.030256,-0.015719,0.008426,-0.044848,-0.020248,0.027835,-0.040653,0.018268,-0.025841,-0.040973,-0.013054,-0.003978,-0.026814,-0.010814,0.024259,0.002551,0.041606,-0.010120,-0.004510,0.033450,0.012347,-0.003836,0.040156,0.024909,0.048219,0.059253,0.048541,-0.013569,0.043069,-0.039482,-0.091003,0.025439,-0.034947,-0.171762,0.024105,0.020671
-0.029452,0.030203,-0.009001,-0.027512,0.014382,-0.006889,-0.027807,-0.011530,0.010290,-0.042906,-0.016243,0.032502,-0.036703,0.017565,-0.023404,-0.038062,-0.010581,-0.001089,-0.030123,-0.008566,0.028832,-0.006378,0.042233,-0.009314,-0.012773,0.026522,0.003233,-0.007624,0.024009,0.007622,0.040852,0.036218,0.020102,-0.019573,0.049233,-0.030593,-0.078552,0.026465,-0.034072,-0.140215,0.016007,-0.001045
-0.027273,0.026521,-0.007141,-0.024417,0.012912,-0.004713,-0.023998,-0.006225,0.012185,-0.040138,-0.011404,0.036822,-0.031713,0.018828,-0.019172,-0.033677,-0.003675,-0.001681,-0.033186,-0.003532,0.022515,-0.012012,0.040719,-0.007666,-0.018659,0.021931,-0.000705,-0.012972,0.018212,0.002865,0.030896,0.029321,0.015034,-0.022327,0.053092,-0.022524,-0.065998,0.029843,-0.029951,-0.111652,0.014061,-0.013795
-0.027856,0.022415,-0.008803,-0.025029,0.010674,-0.005894,-0.024952,-0.003933,0.010166,-0.041134,-0.009049,0.034955,-0.030286,0.018463,-0.019169,-0.032612,0.000865,-0.005946,-0.037301,-0.000240,0.012915,-0.011824,0.035533,-0.009367,-0.019074,0.018383,-0.000821,-0.017847,0.016847,0.005105,0.020535,0.028436,0.020040,-0.019208,0.050417,-0.023039,-0.053943,0.032087,-0.029005,-0.088922,0.016315,-0.020054
