joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
0.419354,0.351535,-0.009893,-0.009239,0.029145,0.063746,0.016342,0.024458,-0.612734,-0.254387,-0.286368,0.459599,0.487393,-0.136458,0.023228,-0.002301,0.124236,-0.025456,-0.012429,-0.181339,0.177429,0.260994,0.152019,-0.000038,0.027345,0.000000,0.000000,-0.000001,-0.000006
0.419538,0.373805,0.021703,0.013238,0.041145,0.025848,-0.000142,0.009629,-0.589547,-0.278905,-0.260928,0.463358,0.463124,-0.107110,0.027603,-0.010050,0.121726,-0.021446,-0.012789,-0.150117,0.162114,0.196792,0.149985,0.000004,0.025284,0.000000,0.000000,0.000000,-0.000001
0.426735,0.377567,0.033535,0.020814,0.037116,0.018156,-0.006184,0.003165,-0.569911,-0.279114,-0.245818,0.460498,0.436902,-0.088673,0.026082,-0.002249,0.117784,-0.018708,-0.012792,-0.124967,0.152998,0.150125,0.140199,0.000006,0.023975,-0.000001,-0.000001,0.000000,-0.000000
0.401857,0.349557,0.037251,0.021449,0.029893,0.017931,-0.005286,0.003625,-0.521138,-0.268522,-0.241843,0.432228,0.379416,-0.087485,0.030287,0.012928,0.105730,-0.016006,-0.013681,-0.100065,0.138289,0.103115,0.116460,0.000007,0.021807,-0.000001,-0.000001,0.000000,-0.000001
0.368148,0.311453,0.038451,0.017294,0.022243,0.024176,0.001144,0.005490,-0.463213,-0.247568,-0.230861,0.393254,0.317771,-0.092404,0.034729,0.027620,0.091628,-0.014372,-0.015122,-0.081546,0.124408,0.063539,0.101753,0.000006,0.019988,0.000000,0.000000,0.000000,-0.000000
0.348950,0.285026,0.042742,0.010499,0.016941,0.035903,0.011702,0.003240,-0.416257,-0.216740,-0.194752,0.358383,0.279195,-0.092314,0.033921,0.033954,0.081573,-0.014848,-0.016785,-0.075587,0.117813,0.039241,0.119114,0.000004,0.019731,0.000000,0.000000,0.000000,0.000001
0.308543,0.240649,0.034659,0.009373,0.013729,0.035240,0.028368,-0.002263,-0.354847,-0.173262,-0.136811,0.302423,0.211065,-0.084349,0.017534,0.042493,0.064138,-0.015986,-0.015653,-0.062712,0.099812,0.016186,0.107686,0.000009,0.017429,0.000000,0.000000,0.000000,0.000001
0.267211,0.200570,0.018250,0.014484,0.014216,0.022526,0.042819,-0.008270,-0.309780,-0.138921,-0.086042,0.253433,0.147485,-0.072517,-0.006239,0.048985,0.048053,-0.017223,-0.012294,-0.049367,0.079428,0.005892,0.073200,0.000020,0.014238,0.000000,0.000000,0.000000,-0.000001
0.199854,0.148297,0.004298,0.013882,0.007618,0.012398,0.059671,-0.002778,-0.247930,-0.103551,-0.063732,0.182143,0.075009,-0.064415,-0.007397,0.054079,0.028015,-0.018374,-0.013551,-0.031185,0.062487,0.003080,0.043033,0.000054,0.011731,0.000000,0.000000,0.000000,-0.000001
0.134148,0.097036,-0.006107,0.010096,-0.000027,0.005758,0.072762,0.005049,-0.188773,-0.077564,-0.056037,0.111380,0.012255,-0.055131,-0.000753,0.054115,0.010105,-0.019103,-0.016068,-0.014407,0.050674,0.004525,0.022192,0.000107,0.010096,0.000000,0.000000,0.000001,0.000000
