body_0_w,body_0_x,body_0_y,body_0_z,body_1_w,body_1_x,body_1_y,body_1_z,body_2_w,body_2_x,body_2_y,body_2_z,body_3_w,body_3_x,body_3_y,body_3_z,body_4_w,body_4_x,body_4_y,body_4_z,body_5_w,body_5_x,body_5_y,body_5_z,body_6_w,body_6_x,body_6_y,body_6_z,body_7_w,body_7_x,body_7_y,body_7_z,body_8_w,body_8_x,body_8_y,body_8_z,body_9_w,body_9_x,body_9_y,body_9_z,body_10_w,body_10_x,body_10_y,body_10_z,body_11_w,body_11_x,body_11_y,body_11_z,body_12_w,body_12_x,body_12_y,body_12_z,body_13_w,body_13_x,body_13_y,body_13_z
-0.679478,-0.043099,0.037410,-0.731473,-0.677472,-0.068542,0.023429,-0.731973,-0.373505,0.608006,-0.490924,-0.499815,-0.383720,0.565267,-0.335589,-0.648547,-0.678917,-0.053309,0.050651,-0.730524,-0.406661,0.570308,-0.587491,-0.405253,-0.564082,0.423092,-0.417493,-0.573153,-0.686305,-0.006744,0.020496,-0.726994,-0.691521,-0.171304,0.044236,-0.700354,-0.729024,0.055814,-0.256924,-0.631980,-0.698864,0.191911,-0.329450,-0.605163,-0.653735,-0.068004,0.150955,-0.738389,-0.494176,0.274312,-0.011017,-0.824877,-0.507662,0.391054,-0.084950,-0.762981
-0.679635,-0.046080,0.039605,-0.731030,-0.678211,-0.063690,0.020543,-0.731814,-0.374166,0.607562,-0.491323,-0.499469,-0.384467,0.565005,-0.335934,-0.648153,-0.679506,-0.049073,0.047719,-0.730470,-0.407925,0.570555,-0.586414,-0.405195,-0.564299,0.424180,-0.416383,-0.572942,-0.685966,-0.014702,0.026245,-0.727012,-0.690042,-0.172381,0.046918,-0.701374,-0.728708,0.056039,-0.256246,-0.632600,-0.698663,0.192303,-0.328592,-0.605737,-0.655259,-0.069952,0.152025,-0.736635,-0.495104,0.274141,-0.010512,-0.824384,-0.508764,0.390649,-0.084828,-0.762468
-0.679780,-0.049082,0.041804,-0.730577,-0.678910,-0.058813,0.017692,-0.731648,-0.374610,0.607409,-0.491714,-0.498937,-0.384976,0.565016,-0.336311,-0.647646,-0.680070,-0.044690,0.044842,-0.730408,-0.408730,0.571313,-0.585470,-0.404681,-0.564191,0.425789,-0.415461,-0.572525,-0.685823,-0.023210,0.031443,-0.726718,-0.688814,-0.174110,0.049183,-0.701999,-0.728389,0.055470,-0.255911,-0.633152,-0.698444,0.191903,-0.328110,-0.606377,-0.656869,-0.073033,0.153300,-0.734635,-0.496454,0.272954,-0.009729,-0.823975,-0.510326,0.389251,-0.084499,-0.762175
-0.679719,-0.051311,0.043655,-0.730372,-0.679313,-0.054251,0.016008,-0.731665,-0.375413,0.607696,-0.491877,-0.497823,-0.385522,0.565818,-0.336680,-0.646428,-0.680358,-0.040353,0.042284,-0.730545,-0.409600,0.572197,-0.584355,-0.404162,-0.564172,0.427413,-0.414241,-0.572218,-0.685122,-0.029410,0.035426,-0.726971,-0.687409,-0.174749,0.050886,-0.703095,-0.727879,0.055706,-0.255192,-0.634008,-0.698064,0.192307,-0.327191,-0.607183,-0.657442,-0.075115,0.154878,-0.733580,-0.497012,0.272915,-0.008628,-0.823664,-0.511103,0.389019,-0.083696,-0.761862
-0.679475,-0.053465,0.045281,-0.730346,-0.679472,-0.050117,0.014268,-0.731849,-0.375879,0.608066,-0.491823,-0.497073,-0.385695,0.566596,-0.336853,-0.645553,-0.680427,-0.036195,0.039699,-0.730844,-0.410353,0.573064,-0.583209,-0.403826,-0.564083,0.428895,-0.412981,-0.572106,-0.684232,-0.035085,0.039020,-0.727374,-0.685916,-0.175298,0.052396,-0.704305,-0.727262,0.055993,-0.254464,-0.634983,-0.697581,0.192776,-0.326238,-0.608101,-0.657713,-0.077077,0.156460,-0.732798,-0.497338,0.272893,-0.007391,-0.823486,-0.511659,0.388833,-0.082709,-0.761691
-0.678872,-0.055473,0.046458,-0.730682,-0.679178,-0.046834,0.012419,-0.732372,-0.375684,0.608580,-0.491366,-0.497043,-0.385136,0.567309,-0.336667,-0.645357,-0.680085,-0.032387,0.037066,-0.731479,-0.410900,0.573888,-0.582006,-0.403834,-0.563887,0.430094,-0.411641,-0.572365,-0.683007,-0.039724,0.041845,-0.728130,-0.684252,-0.175678,0.053492,-0.705744,-0.726421,0.056375,-0.253748,-0.636197,-0.696878,0.193366,-0.325247,-0.609249,-0.657387,-0.078793,0.158075,-0.732561,-0.497203,0.272916,-0.005861,-0.823572,-0.511784,0.388746,-0.081339,-0.761799
-0.678118,-0.057310,0.047623,-0.731166,-0.678689,-0.043940,0.010985,-0.733028,-0.375311,0.609398,-0.490948,-0.496734,-0.384352,0.568361,-0.336593,-0.644938,-0.679549,-0.028945,0.034847,-0.732230,-0.411408,0.574619,-0.581072,-0.403623,-0.563872,0.431103,-0.410387,-0.572521,-0.681607,-0.043641,0.044083,-0.729084,-0.682537,-0.176042,0.054385,-0.707244,-0.725468,0.056710,-0.252981,-0.637559,-0.696078,0.193917,-0.324190,-0.610551,-0.656664,-0.080410,0.159861,-0.732646,-0.496805,0.272810,-0.003903,-0.823859,-0.511713,0.388565,-0.079491,-0.762134
-0.677285,-0.059061,0.048782,-0.731722,-0.678097,-0.041236,0.009762,-0.733750,-0.374850,0.610372,-0.490545,-0.496285,-0.383454,0.569585,-0.336570,-0.644404,-0.678910,-0.025682,0.032840,-0.733037,-0.411901,0.575310,-0.580262,-0.403301,-0.563949,0.432024,-0.409164,-0.572627,-0.680116,-0.047199,0.046026,-0.730135,-0.680793,-0.176398,0.055182,-0.708774,-0.724456,0.057023,-0.252183,-0.638995,-0.695229,0.194450,-0.323092,-0.611929,-0.655742,-0.081979,0.161732,-0.732888,-0.496277,0.272639,-0.001730,-0.824242,-0.511545,0.388336,-0.077403,-0.762578
-0.676282,-0.060612,0.049872,-0.732449,-0.677272,-0.039472,0.009072,-0.734617,-0.373852,0.611814,-0.490268,-0.495535,-0.382066,0.571166,-0.336708,-0.643757,-0.678063,-0.023214,0.031984,-0.733940,-0.412455,0.575933,-0.579794,-0.402517,-0.564323,0.432857,-0.408033,-0.572436,-0.678590,-0.049529,0.046695,-0.731356,-0.679227,-0.176731,0.055396,-0.710174,-0.723454,0.056952,-0.251321,-0.640476,-0.694419,0.194603,-0.321947,-0.613402,-0.654482,-0.083307,0.163214,-0.733536,-0.495257,0.272388,0.000350,-0.824940,-0.510881,0.388088,-0.075328,-0.763357
-0.675283,-0.062115,0.050932,-0.733171,-0.676427,-0.038106,0.008613,-0.735473,-0.372822,0.613260,-0.489993,-0.494796,-0.380888,0.572482,-0.336598,-0.643343,-0.677204,-0.021092,0.031429,-0.734822,-0.412938,0.576519,-0.579481,-0.401635,-0.564755,0.433586,-0.407002,-0.572192,-0.677139,-0.051290,0.047083,-0.732554,-0.677781,-0.177044,0.055522,-0.711468,-0.722439,0.056901,-0.250493,-0.641948,-0.693589,0.194757,-0.320852,-0.614864,-0.653138,-0.084526,0.164686,-0.734265,-0.494199,0.272012,0.002533,-0.825694,-0.510193,0.387733,-0.073132,-0.764211
